SHA 256 FLAT,PE256 Authenticode,Filename,Architecture,Partner,CVEs,Revocation List Date
3D23947C39680B9FCF22B092B97C9D38EDCC02F7AD13D3A925D1EE0B62797E73,7EAC80A915C84CD4AFEC638904D94EB168A8557951A4D539B0713028552B6B8C,grubx64.efi,64-bit,Canonical,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
0AC2943ABF5EF953B939247B74331FB2C437E405A81DD5569D9CFF1D6183D53A,E7681F153121EA1E67F74BBCB0CDC5E502702C1B8CC55FB65D702DFBA948B5F4,gcdx64.efi,64-bit,Canonical,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
8E8ADDB29426D845A0101C2C1F26C2E7FE8C78128AB04F16CFCB4E06461B0101,804E354C6368BB27A90FAE8E498A57052B293418259A019C4F53A2007254490F,grubnetx64.efi,64-bit,Canonical,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
96520E78051325998A6D82FFFEE0366F85289E6D8834D1F3DA9082C6EE146D26,B93F0699598F8B20FA0DACC12CFCFC1F2568793F6E779E04795E6D7C22530F75,,64-bit,Canonical,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
E4FF4E538B4758E8E49010ED16D6D5380417B146F3E8806ACB3AC40611646FDB,EAFF8C85C208BA4D5B6B8046F5D6081747D779BADA7768E649D047FF9B1F660C,,64-bit,Cumulus Network,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
AEF3E0A113345C1ADCA2D627C5853A11DDFC4E0E07FD28C10049A9B766C0FBC5,C9EC350406F26E559AFFB4030DE2EBDE5435054C35A998605B8FCF04972D8D55,bootnetx64.efi,64-bit,Debian Project,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
23EBFBC7BC286CEFC68B4920784B926EC28D7965815238325FBD17892177D6F3,340DA32B58331C8E2B561BAF300CA9DFD6B91CD2270EE0E2A34958B1C6259E85,,64-bit,EgoSecure,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
5C39F0E5E0E7FA3BE05090813B13D161ACAF48494FDE6233B452C416D29CDDBE,5C39F0E5E0E7FA3BE05090813B13D161ACAF48494FDE6233B452C416D29CDDBE,,64-bit,EgoSecure,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
191A99A1EF854CE43E64D1CE2FDCC0C942200B88D232F8823A439CBCD7D148C1,DD59AF56084406E38C63FBE0850F30A0CD1277462A2192590FB05BC259E61273,,64-bit,Endless OS,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
4B2BD93B32DE4BE7235C95C97AF98E12BED5F0602B7B428700F9A1348CB2F731,0FA3A29AD05130D7FE5BF4D2596563CDED1D874096AACC181069932A2E49519A,bootx64.efi,64-bit,Endless OS,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
6A6F1C13EEFCBA07C0FC8AA0B70AB6FE2BC709A9EAF83090B735FEC8E0DD576B,CF3F7C24AF6D46E133BB6A936902A47413394B2A8ADDC63A8890C75EB7C3A6C7,BOOTIA32.EFI,32-bit,Fedora Project,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
475552C7476AD45E42344EEE8B30D44C264D200AC2468428AA86FC8795FB6E34,DBAF9E056D3D5B38B68553304ABC88827EBC00F80CB9C7E197CDBC5822CD316C,bootx64.efi,64-bit,Fedora Project,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
E6CB6A3DCBD85954E5123759461198AF67658AA425A6186FFC9B57B772F9158F,0CE02100F67C7EF85F4EED368F02BF7092380A3C23CA91FD7F19430D94B00C19,BOOTX64.EFI,64-bit,Fedora Project,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
E1DC3EF55626A4CF6DDC425A353208F309271B8A9FDBF8964082FB08DFB7A170,2B2298EAA26B9DC4A4558AE92E7BB0E4F85CF34BF848FDF636C0C11FBEC49897,,64-bit,Fedora Project,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
52A4F27CCEDCC5405D8EC128BF99861865B2273DA18A9B958ABADEFF63DF5A18,3765D769C05BF98B427B3511903B2137E8A49B6F859D0AF159ED6A86786AA634,,64-bit,Fedora Project,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
9E5773C34073B8473BD1EBC9D4D50780A7CDF9EB767750107D4B0F45BC8EABE8,78B4EDCAABC8D9093E20E217802CAEB4F09E23A3394C4ACC6E87E8F35395310F,,64-bit,Fedora Project,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
F06D3E0F031A2FDC63DD2BA2BE7F32E0D432434C3515C2F840D812FFBFA530F6,9954A1A99D55E8B189AB1BCA414B91F6A017191F6C40A86B6F3EF368DD860031,,64-bit,Fedora Project,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
2F1DAE62EA074FD06DBBF620009CB3E65988D15431A061EAAB4D7ED1A97A3689,D14EE5616DC8EC74D695AF08DACC78BBEFAFA7A97A5CFEAB9B961E86CE9EDD37,,32-bit,Fedora Project,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
A120F42DE7B5BFCB55C40AFC857B6BAF4D1AC60725500C27A5B2942BDA970CCF,F1B4F6513B0D544A688D13ADC291EFA8C59F420CA5DCB23E0B5A06FA7E0D083D,BOOTX64.EFI,64-bit,Fedora Project,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
F8E2A41C0444D7DA76FC1682F3EB7E2A90140E1B68B413F4426BAC357CBE14BB,F1863EC8B7F43F94AD14FB0B8B4A69497A8C65ECBC2A55E0BB420E772B8CDC91,BOOTX64.EFI,64-bit,HP,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
BBD53435E3881C13F6EF3D7C17DDE9BCCF2BB2D95D303DC4623CD1AA8F51EF23,781764102188A8B4B173D4A8F5EC94D828647156097F99357A581E624B377509,,64-bit,HP,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
A2BE1EB17E12E0A66A87342C9D1CFD4D7DB81504A16B4FCB32F15C6BAA3F589D,E6856F137F79992DC94FA2F43297EC32D2D9A76F7BE66114C6A13EFC3BCDF5C8,,64-bit,HP,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
D4D97AEAB61079D3EB0E55794504991DD1BEB0F200315718FFE44BAE89F8F330,81A8B2C9751AEB1FABA7DBDE5EE9691DC0EAEE2A31C38B1491A8146756A6B770,,64-bit,Intel Corporation,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
98ACBA206E9F3843A4A7E07C66EAD4366FBE7976653B65ED0C311D4EFAE878AB,9FA4D5023FD43ECAFF4200BA7E8D4353259D2B7E5E72B5096EFF8027D66D1043,HfiPcieGen3,64-bit,Intel Corporation,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
D8E8197BB6CB93157BAE6B4E63EFFA60BB49628DEBB6F771F154C229F4205DB3,D372C0D0F4FDC9F52E9E1F23FC56EE72414A17F350D0CEA6C26A35A6C3217A13,,64-bit,Intel Corporation,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
6484A487192E0B44CBD30EB7B3D436A9150D5B5AD271974764366BDC4E8677BB,09F98AA90F85198C0D73F89BA77E87EC6F596C491350FB8F8BBA80A62FBB914B,,64-bit,Intel Corporation,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
3141C6EF9FCE61084D16F0659A9596B0156F24D6F4B03837C4B7543CFB378D61,147730B42F11FE493FE902B6251E97CD2B6F34D36AF59330F11D02A42F940D07,,64-bit,Intel Corporation,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
CD0F9839C6CCBEC5CE38B882E1AB23C8AB44A8993E6B8A02026D8314EAC4EA4C,29CCA4544EA330D61591C784695C149C6B040022AC7B5B89CBD72800D10840EA,,64-bit,Intel Corporation,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
55A3628537C4FBDA0FA7D27001EB2DFCDC515D8A48649715A31E1D0065A7DA35,2DCF8E8D817023D1E8E1451A3D68D6EC30D9BED94CBCB87F19DDC1CC0116AC1A,,64-bit,Intel Corporation,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
BAE97EFC507382C0BDF7B1E74DBC38C0E31BF65186B7989CD9C7AF29DA27F656,3A4F74BEAFAE2B9383AD8215D233A6CF3D057FB3C7E213E897BEEF4255FAEE9D,,64-bit,Intel Corporation,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
C31524CF5814D19C11611A5E5C27B2071DCB76B7EC6DC2DEC93FF9DE5CE656DE,4185821F6DAB5BA8347B78A22B5F9A0A7570CA5C93A74D478A793D83BAC49805,,64-bit,Intel Corporation,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
29DA5912698EE1928C239D394EF95A4BEEF0DC59262B6BFFEC24FA205C4B8A10,45876B4DD861D45B3A94800774027A5DB45A48B2A729410908B6412F8A87E95D,,64-bit,Intel Corporation,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
0ED1B0FAE1A6E705D1B116D08B7184E0A2EE2A0E6B0C372CE69B40E9EF34579F,5890FA227121C76D90ED9E63C87E3A6533EEA0F6F0A1A23F1FC445139BC6BCDF,HfiPcieGen3,64-bit,Intel Corporation,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
5875DB0835E08A9189F23833B21774FDD1C4C3BD4C5D3459471A49B85CFFD1E1,5D1E9ACBBB4A7D024B6852DF025970E2CED66FF622EE019CD0ED7FD841CCAD02,,64-bit,Intel Corporation,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
10368826DC89AF42B4AD7E69A9E1F4DA9486DD645C088F445998E8DCA18EB0D4,6DEAD13257DFC3CCC6A4B37016BA91755FE9E0EC1F415030942E5ABC47F07C88,,64-bit,Intel Corporation,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
690B765C38BE3FBA65B829677D98A67943F92E24E9860EE2A13273F5932B8A0A,BEF7663BE5EA4DBFD8686E24701E036F4C03FB7FCD67A6C566ED94CE09C44470,,64-bit,Intel Corporation,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
07058C9BBCCB99D58FC93EBE2C007CFE28E1BF74E51954584AA3D3CA06689FBA,CF13A243C1CD2E3C8CEB7E70100387CECBFB830525BBF9D0B70C79ADF3E84128,,64-bit,Intel Corporation,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
6AE5984A47CCE9129498E534DB84F0FD33FE9AEE2860462414416282EB0CF34A,DF02AAB48387A9E1D4C65228089CB6ABE196C8F4B396C7E4BBC395DE136977F6,,64-bit,Intel Corporation,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
407326C7F1C837A861EE8D187170C779A9B6A25B0736761645D7E549EBFA17C2,DF91AC85A94FCD0CFB8155BD7CBEFAAC14B8C5EE7397FE2CC85984459E2EA14E,,64-bit,Intel Corporation,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
0CCD31ED42FF79E74FBA9C064F59F698E3AE9F9E690BE296EA63936E81982000,E36DFC719D2114C2E39AEA88849E2845AB326F6F7FE74E0E539B7E54D81F3631,,64-bit,Intel Corporation,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
561D28E0888CDB0A8FCE41754742AA8EB1BF5C8DD4EACBF9AF0F40E0D36013C2,E24B315A551671483D8B9073B32DE11B4DE1EB2EAB211AFD2D9C319FF55E08D0,bootx64.efi,64-bit,Isoo Software Dev Co Ltd,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
56F9E50DA4817B1DE9D9291EB5F2BC63703CA3E6F4A8571BDE28CF756E2C80BA,BD882355BF6813CF88EC0B83B6133691100F480381AC06531C3D5909CF1FB626,bootia32.efi,32-bit,Isoo Software Dev Co Ltd,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
9D61099DE8327EFEFF7E4AEA81D9F3396A2218E6B22E15D05032A765897C0EBA,B3E506340FBF6B5786973393079F24B66BA46507E35E911DB0362A2ACDE97049,shim.efi,64-bit,Micron Technology,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
B06DC8F3DE1E7E5A53DC7AD0F8028F78A843DF54884B4A92BCEC21071F0E649B,7BC9CB5463CE0F011FB5085EB8BA77D1ACD283C43F4A57603CC113F22CEBC579,bootx64.efi,64-bit,NTI Corporation,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
2B91C0C8C0F156ABC8F85274C1320C038AF0179FE4696260B1011D5361E50AEA,41CCE0FC467609CA368BEDBA45C292F2BE1B622FB9BE0473CF51E7A96EE65652,,32-bit,Microsoft,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
2AEC3E859816EFA89AF844D6DD8CCAEA345A851CB23006D3C2928081352BEB25,91971C1497BF8E5BC68439ACC48D63EBB8FAABFD764DCBE82F3BA977CAC8CF6A,,64-bit,Microsoft,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
3F8091F700DA0DD082C6C06D0D3B68DB8D51FBE03198BBD6E4FA0D4A9EACA522,2F9A8EB6C8E18E7E118AFE9B51E233D88EC76C0EA256FF1F2A842B3A0EA9F466,,32-bit,Novell Systems,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
0FB12613BC1D4AB6FBB256574EBA9347AE3A87F96E4A3C259028B55CDE1D8053,BC75F910FF320F5CB5999E66BBD4034F4AE537A42FDFEF35161C5348E366E216,,64-bit,Now Computing LLC,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
8310F47BA34EB1ACA146A5BDB8B59138173E659FBEB57A4C89355D8C54930B6B,56B3DA7259EB1BEC44199A7EBF74C6FE912C8FE9BF4A20A7610C5E9BC0B601CD,,32-bit,Oracle Corporation,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
6A86152DF323185DCD535369C94B9226FEB6AAB4479C00A4A916B4E82E4A85FE,65F3C0A01B8402D362B9722E98F75E5E991E6C186E934F7B2B2E6BE6DEC800EC,,64-bit,Oracle Corporation,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
04A779863E698705914958CFCF521450B8D2C9AE321DFE36A2DFDA00AE75ADC1,1D5C15CED73845B7E968BF3ACE52C5C660AA2DA6DDEFF2CE6445A04B885A0F12,,32-bit,Oracle Corporation,CVE-2020-10713; CVE-2020-14308; CVE-2020-14309; CVE-2020-14310; CVE-2020-14311; CVE-2020-15705; CVE-2020-15706; CVE-2020-15707,Jul-20
