Name,Author,Created,Commands,Command,Description,Usecase,Category,Privileges,MitreID,OperatingSystem,Resources,driver_description,Acknowledgement,Person,Handle,Detection,KnownHashes,Metadata,binary,Verified,Date,Publisher,Company,Description,Product,Product Version,File Version,Machine Type,OriginalFilename,driver_verified,POCs
CITMDRV_IA64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,"hash:1C8DFA14888BB58848B4792FB1D8A921976A9463BE8334CFF45CC96F1276049A, hash:22418016E980E0A4A2D01CA210A17059916A4208352C1018B0079CCB19AAF86A, hash:405472A8F9400A54BB29D03B436CCD58CFD6442FE686F6D2ED4F63F002854659, hash:49F75746EEBE14E5DB11706B3E58ACCC62D4034D2F1C05C681ECEF5D1AD933BA, hash:4A3D4DB86F580B1680D6454BAEE1C1A139E2DDE7D55E972BA7C92EC3F555DCE2, hash:4AB41816ABBF14D59E75B7FAD49E2CB1C1FEB27A3CB27402297A2A4793FF9DA7, hash:54841D9F89E195196E65AA881834804FE3678F1CF6B328CAB8703EDD15E3EC57, hash:5EE292B605CD3751A24E5949AAE615D472A3C72688632C3040DC311055B75A92, hash:76B86543CE05540048F954FED37BDDA66360C4A3DDB8328213D5AEF7A960C184, hash:7F190F6E5AB0EDAFD63391506C2360230AF4C2D56C45FC8996A168A1FC12D457, hash:845F1E228DE249FC1DDF8DC28C39D03E8AD328A6277B6502D3932E83B879A65A, hash:84BF1D0BCDF175CFE8AEA2973E0373015793D43907410AE97E2071B2C4B8E2D4, hash:8EF0AD86500094E8FA3D9E7D53163AA6FEEF67C09575C169873C494ED66F057F, hash:A56C2A2425EB3A4260CC7FC5C8D7BED7A3B4CD2AF256185F24471C668853AEE8, hash:AC3F613D457FC4D44FA27B2E0B1BAA62C09415705EFB5A40A4756DA39B3AC165, hash:B1334A71CC73B3D0C54F62D8011BEC330DFC355A239BF94A121F6E4C86A30A2E, hash:B47BE212352D407D0EF7458A7161C66B47C2AEC8391DD101DF11E65728337A6A, hash:B9B3878DDC5DFB237D38F8D25067267870AFD67D12A330397A8853209C4D889C, hash:DB90E554AD249C2BD888282ECF7D8DA4D1538DD364129A3327B54F8242DD5653, hash:E61A54F6D3869B43C4ECEAC3016DF73DF67CCE03878C5A6167166601C5D3F028",,,,,IBM Polska Sp. z o.o.,,,,,,,,TRUE,
cpuz_x64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,hash:3871E16758A1778907667F78589359734F7F62F9DC953EC558946DCDBE6951E3,,,,,CPUID,,CPUID Driver,,,,,,TRUE,
cpuz141.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,hash:DED2927F9A4E64EEFD09D0CABA78E94F309E3A6292841AE81D5528CAB109F95D,,,,,CPUID,,CPUID Driver,,,,,,TRUE,
dbutil_2_3.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,"Link: https://github.com/namazso/physmem_drivers, link:https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/",https://github.com/namazso/physmem_drivers,,,,,"hash:0296E2CE999E67C76352613A718E11516FE1B0EFC3FFDB8918FC999DD76A73A5, hash:c948ae14761095e4d76b55d9de86412258be7afd",,,,,Dell Inc.,,dianhu,,,,,,TRUE,
Dh_Kernel_10.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,hash:80CBBA9F404DF3E642F22C476664D63D7C229D45D34F5CD0E19C65EB41BECEC3,,,,,YY Inc.,,dianhu,,,,,,TRUE,
Dh_Kernel.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,"Link: https://github.com/namazso/physmem_drivers, Link: https://github.com/namazso/physmem_drivers",https://github.com/namazso/physmem_drivers,,,,,hash:BB50818A07B0EB1BD317467139B7EB4BAD6CD89053FECDABFEAE111689825955,,,,,YY Inc.,,,,,,,,TRUE,
gdrv.sys,Michael Haag,2023-01-09,,,"gdrv.sys is vulnerable to multiple CVEs: CVE-2018-19320, CVE-2018-19322, CVE-2018-19323, CVE-2018-19321. Read/Write Physical memory, read/write to/from IO ports, exposes ring0 memcpy-like functionality,  read and write Machine Specific Registers (MSRs).","Elevate privileges, tamper with PPL or system processes",vulnerable driver,kernel,T1068,Windows 10,"Link: https://github.com/hoangprod/DanSpecial, Link:https://github.com/namazso/physmem_drivers, Link:https://www.secureauth.com/labs/advisories/gigabyte-drivers-elevation-privilege-vulnerabilities, Link:https://medium.com/@fsx30/weaponizing-vulnerable-driver-for-privilege-escalation-gigabyte-edition-e73ee523598b",https://github.com/namazso/physmem_drivers,,MattNotMax,@mattnotmax,,"hash:31f4cfb4c71da44120752721103a16512444c13c2ac2d857a7e6f13cb679b427, hash:ff6729518a380bf57f1bc6f1ec0aa7f3012e1618b8d9b0f31a61d299ee2b4339",,,,"2013-07-03 17:32:00 UTC, 2017-11-30 18:40:00 UTC",,,"GIGABYTE Tools, GIGA-BYTE NonPNP Driver","Windows (R) Server 2003 DDK driver, gdrv64",,"5.2.3790.1830 built by: WinDDK, 1.0.0.1","x64, x64",gdrv.sys,TRUE,
GLCKIO2.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,"hash:3A5EC83FE670E5E23AEF3AFA0A7241053F5B6BE5E6CA01766D6B5F9177183C25, hash:61A1BDDDD3C512E681818DEBB5BEE94DB701768FC25E674FCAD46592A3259BD0",,,,,ASUSTeK Computer Inc.,,,,,,,,TRUE,
HOSTNT.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,hash:07B6D69BAFCFD767F1B63A490A8843C3BB1F8E1BBEA56176109B5743C8F7D357,,,,,"""SafeNet, Inc.""",,Hostnt 64-bit driver,,,,,,TRUE,
HwRwDrv.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,hash:21CCDD306B5183C00ECFD0475B3152E7D94B921E858E59B68A03E925D1715F21,,,,,Shuttle Inc.,,Hardware read & write driver,,,,,,TRUE,
inpoutx64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,"hash:2D83CCB1AD9839C9F5B3F10B1F856177DF1594C66CBBC7661677D4B462EBF44D, hash:F581DECC2888EF27EE1EA85EA23BBB5FB2FE6A554266FF5A1476ACD1D29D53AF, hash:F8965FDCE668692C3785AFA3559159F9A18287BC0D53ABB21902895A8ECF221B",,,,,,,,,,,,,TRUE,
iomem64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,"hash:3D23BDBAF9905259D858DF5BF991EB23D2DC9F4ECDA7F9F77839691ACEF1B8C4, hash:DD4A1253D47DE14EF83F1BC8B40816A86CCF90D1E624C5ADF9203AE9D51D4097",,,,,,,,,,,,,TRUE,
Mhyprot2.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,hash:509628B6D16D2428031311D7BD2ADD8D5F5160E9ECC0CD909F1E82BBBB3234D6,,,,,,,,,,,,,TRUE,
msrhook.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,hash:6DE84CAA2CA18673E01B91AF58220C60AECD5CCCF269725EC3C7F226B2167492,,,,,,,,,,,,,TRUE,
NTIOLib.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,"hash:09BEDBF7A41E0F8DABE4F41D331DB58373CE15B2E9204540873A1884F38BDDE1, hash:101402D4F5D1AE413DED499C78A5FCBBC7E3BAE9B000D64C1DD64E3C48C37558, hash:131D5490CEB9A5B2324D8E927FEA5BECFC633015661DE2F4C2F2375A3A3B64C6, hash:1DDFE4756F5DB9FB319D6C6DA9C41C588A729D9E7817190B027B38E9C076D219, hash:1E8B0C1966E566A523D652E00F7727D8B0663F1DFDCE3B9A09B9ADFAEF48D8EE, hash:2BBE65CBEC3BB069E92233924F7EE1F95FFA16173FCEB932C34F68D862781250, hash:30706F110725199E338E9CC1C940D9A644D19A14F0EB8847712CBA4CACDA67AB, hash:3124B0411B8077605DB2A9B7909D8240E0D554496600E2706E531C93C931E1B5, hash:38FA0C663C8689048726666F1C5E019FEAA9DA8278F1DF6FF62DA33961891D2A, hash:39CFDE7D401EFCE4F550E0A9461F5FC4D71FA07235E1336E4F0B4882BD76550E, hash:3D9E83B189FCF5C3541C62D1F54A0DA0A4E5B62C3243D2989AFC46644056C8E3, hash:3F2FDA9A7A9C57B7138687BBCE49A2E156D6095DDDABB3454EA09737E02C3FA5, hash:47F0CDAA2359A63AD1389EF4A635F1F6EEE1F63BDF6EF177F114BDCDADC2E005, hash:50D5EAA168C077CE5B7F15B3F2C43BD2B86B07B1E926C1B332F8CB13BD2E0793, hash:56A3C9AC137D862A85B4004F043D46542A1B61C6ACB438098A9640469E2D80E7, hash:591BD5E92DFA0117B3DAA29750E73E2DB25BAA717C31217539D30FFB1F7F3A52, hash:5D530E111400785D183057113D70623E17AF32931668AB7C7FC826F0FD4F91A3, hash:6F1FF29E2E710F6D064DC74E8E011331D807C32CC2A622CBE507FD4B4D43F8F4, hash:79E2D37632C417138970B4FEBA91B7E10C2EA251C5EFE3D1FC6FA0190F176B57, hash:85866E8C25D82C1EC91D7A8076C7D073CCCF421CF57D9C83D80D63943A4EDD94, hash:89B0017BC30CC026E32B758C66A1AF88BD54C6A78E11EC2908FF854E00AC46BE, hash:9254F012009D55F555418FF85F7D93B184AB7CB0E37AECDFDAB62CFE94DEA96B, hash:9529EFB1837B1005E5E8F477773752078E0A46500C748BC30C9B5084D04082E6, hash:984A77E5424C6D099051441005F2938AE92B31B5AD8F6521C6B001932862ADD7, hash:98B734DDA78C16EBCAA4AFEB31007926542B63B2F163B2F733FA0D00DBB344D8, hash:99F4994A0E5BD1BF6E3F637D3225C69FF4CD620557E23637533E7F18D7D6CBA1, hash:9C10E2EC4F9EF591415F9A784B93DC9C9CDAFA7C69602C0DC860C5B62222E449, hash:A961F5939088238D76757669A9A81905E33F247C9C635B908DAAC146AE063499, hash:A9706E320179993DADE519A83061477ACE195DAA1B788662825484813001F526, hash:B7A20B5F15E1871B392782C46EBCC897929443D82073EE4DCB3874B6A5976B5D, hash:CC586254E9E89E88334ADEE44E332166119307E79C2F18F6C2AB90CE8BA7FC9B, hash:CD4A249C3EF65AF285D0F8F30A8A96E83688486AAB515836318A2559757A89BB, hash:CF4B5FA853CE809F1924DF3A3AE3C4E191878C4EA5248D8785DC7E51807A512B, hash:D0BD1AE72AEB5F3EABF1531A635F990E5EAAE7FDD560342F915F723766C80889, hash: D8B58F6A89A7618558E37AFC360CD772B6731E3BA367F8D58734ECEE2244A530, hash:D92EAB70BCECE4432258C9C9A914483A2267F6AB5CE2630048D3A99E8CB1B482, hash:E005E8D183E853A27AD3BB56F25489F369C11B0D47E3D4095AAD9291B3343BF1, hash:E68D453D333854787F8470C8BAEF3E0D082F26DF5AA19C0493898BCF3401E39A, hash:E83908EBA2501A00EF9E74E7D1C8B4FF1279F1CD6051707FD51824F87E4378FA, hash:EF86C4E5EE1DBC4F81CD864E8CD2F4A2A85EE4475B9A9AB698A4AE1CC71FBEB0, hash:F088B2BA27DACD5C28F8EE428F1350DCA4BC7C6606309C287C801B2E1DA1A53D, hash:FD8669794C67B396C12FC5F08E9C004FDF851A82FAF302846878173E4FBECB03",,,,,,,,,,,,,TRUE,
OpenLibSys.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,"hash:91314768DA140999E682D2A290D48B78BB25A35525EA12C1B1F9634D14602B2C, hash:F0605DDA1DEF240DC7E14EFA73927D6C6D89988C01EA8647B671667B2B167008",,,,,,,,,,,,,TRUE,
Se64a.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,hash:6CB51AE871FBD5D07C5AAD6FF8EEA43D34063089528603CA9CEB8B4F52F68DDC,,,,,,,,,,,,,TRUE,
smep_capcom.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,hash:DB2A9247177E8CDD50FE9433D066B86FFD2A84301AA6B2EB60F361CFFF077004,,,,,,,,,,,,,TRUE,
smep_namco.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,hash:7EC93F34EB323823EB199FBF8D06219086D517D0E8F4B9E348D7AFD41EC9FD5D,,,,,,,,,,,,,TRUE,
SysInfo.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,hash:7049F3C939EFE76A5556C2A2C04386DB51DAF61D56B679F4868BB0983C996EBB,,,,,,,,,,,,,TRUE,
VProEventMonitor.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,hash:7877C1B0E7429453B750218CA491C2825DAE684AD9616642EFF7B41715C70ACA,,,,,,,,,,,,,TRUE,
WCPU.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,hash:159E7C5A12157AF92E0D14A0D3EA116F91C09E21A9831486E6DC592C93C10980,,,,,,,,,,,,,TRUE,
WINIODrv.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,"hash:3243AAB18E273A9B9C4280A57AECEF278E10BFFF19ABB260D7A7820E41739099, hash:7CFA5E10DFF8A99A5D544B011F676BC383991274C693E21E3AF40CF6982ADB8C, hash:C9B49B52B493B53CD49C12C3FA9553E57C5394555B64E32D1208F5B96A5B8C6E",,,,,,,,,,,,,TRUE,
WinRing0.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,Link: https://github.com/namazso/physmem_drivers,https://github.com/namazso/physmem_drivers,,,,,"hash:3EC5AD51E6879464DFBCCB9F4ED76C6325056A42548D5994BA869DA9C4C039A8, hash:47EAEBC920CCF99E09FC9924FEB6B19B8A28589F52783327067C9B09754B5E84, hash:A7B000ABBCC344444A9B00CFADE7AA22AB92CE0CADEC196C30EB1851AE4FA062",,,,,,,,,,,,,TRUE,
physmem.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,"Link: https://github.com/jbaines-r7/dellicious, Link: https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/, link:https://arstechnica.com/information-technology/2022/10/how-a-microsoft-blunder-opened-millions-of-pcs-to-potent-malware-attacks/3/, link:https://learn.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/microsoft-recommended-driver-block-rules",https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,,,,,hash:589A7D4DF869395601BA7538A65AFAE8C4616385,,,,,,,,,,,,,TRUE,
procexp.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,"Link: https://github.com/jbaines-r7/dellicious, Link: https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/",https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,,,,,hash:41cceace9751dce2b6ecaedc9a2d374fbb6458cf93b00a1dcd634ad0bc54ef89,,,,,,,,,,,,,TRUE,
viraglt64.sys,Michael Haag,2023-01-09,,,,Elevate privileges,vulnerable driver,kernel,T1068,Windows 10,"Link: https://github.com/jbaines-r7/dellicious, Link: https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/, link:https://www.greyhathacker.net/?p=990",https://github.com/jbaines-r7/dellicious and https://www.rapid7.com/blog/post/2021/12/13/driver-based-attacks-past-and-present/,,,,,hash:58a74dceb2022cd8a358b92acd1b48a5e01c524c3b0195d7033e4bd55eff4495,,,,,,,,,,,,,TRUE,
